S.No.,State,City,Station Name,Current AQI value
420,,Sawai Madhopur,"Sahu Nagar, Sawai Madhopur - RSPCB",132
421,,Sikar,"Radhakishan Pura, Sikar - RSPCB",86
422,,Sirohi,"Vedhaynath Colony, Sirohi - RSPCB",106
423,,Sri Ganganagar,"Old City, Sri Ganganagar - RSPCB",161
424,,Tonk,"Shastri Nagar, Tonk - RSPCB",94
425,,Udaipur,"Ashok Nagar, Udaipur - RSPCB",145
426,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB",84.3
427,Tamil Nadu,Ariyalur,"Keelapalur, Ariyalur - TNPCB",55
428,,Chengalpattu,"Crescent University, Chengalpattu - TNPCB",64
429,,Chennai,"Alandur Bus Depot, Chennai - CPCB",50
430,,,"Arumbakkam, Chennai - TNPCB",39
431,,,"Gandhi Nagar_Ennore, Chennai - TNPCB",84.3
432,,,"Kodungaiyur, Chennai - TNPCB",84.3
433,,,"Manali Village, Chennai - TNPCB",32
434,,,"Manali, Chennai - CPCB",47
435,,,"Perungudi, Chennai - TNPCB",53
436,,,"Royapuram, Chennai - TNPCB",29
437,,,"Velachery Res. Area, Chennai - CPCB",46
438,,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB",54
439,,,"SIDCO Kurichi, Coimbatore - TNPCB",44
440,,Cuddalore,"Kudikadu, Cuddalore - TNPCB",84.3
441,,,"Semmandalam, Cuddalore - TNPCB",84.3
442,,Dindigul,"Mendonsa Colony, Dindigul - TNPCB",53
443,,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",62
444,,Hosur,"SIPCOT Phase-1, Hosur - TNPCB",84.3
445,,Kanchipuram,"Kilambi, Kanchipuram - TNPCB",45
446,,Karur,"Kamadenu Nagar, Karur - TNPCB",42
447,,Madurai,"Uchapatti, Madurai - TNPCB",84.3
448,,Nagapattinam,"Velippalayam, Nagapattinam - TNPCB",24
449,,Ooty,"Bombay Castel, Ooty - TNPCB",60
450,,Palkalaiperur,"Bharathidasan University, Palkalaiperur - TNPCB",39
451,,Perundurai,"SIPCOT Industrial Park, Perundurai - TNPCB",40
452,,Pudukottai,"SIPCOT Nathampannai, Pudukottai - TNPCB",54
453,,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB",40
454,,Ranipet,"VOC Nagar_SIPCOT, Ranipet - TNPCB",61
455,,Salem,"Sona College of Technology, Salem - TNPCB",37
456,,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB",43
457,,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB",23
458,,Tiruchirappalli,"St Joseph College, Tiruchirappalli - TNPCB",89
459,,Tirunelveli,"Municipal Corporation Office, Tirunelveli - TNPCB",30
460,,Tirupur,"Kumaran College, Tirupur - TNPCB",48
461,,Vellore,"Vasanthapuram, Vellore - TNPCB",89
462,,Virudhunagar,"Collectorate Office, Virudhunagar - TNPCB",47
463,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",81
464,,,"Central University, Hyderabad - TSPCB",64
465,,,"ECIL Kapra, Hyderabad - TSPCB",74
466,,,"ICRISAT Patancheru, Hyderabad - TSPCB",87
467,,,"IDA Pashamylaram, Hyderabad - TSPCB",84.3
468,,,"IITH Kandi, Hyderabad - TSPCB",65
469,,,"Kokapet, Hyderabad - TSPCB",125
470,,,"Kompally Municipal Office, Hyderabad - TSPCB",70
471,,,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",81
472,,,"New Malakpet, Hyderabad - TSPCB",62
473,,,"Ramachandrapuram, Hyderabad - TSPCB",89
474,,,"Sanathnagar, Hyderabad - TSPCB",64
475,,,"Somajiguda, Hyderabad - TSPCB",71
476,,,"Zoo Park, Hyderabad - TSPCB",112
477,Tripura,Agartala,"Bardowali, Agartala - Tripura SPCB",79
478,,,"Kunjaban, Agartala - Tripura SPCB",84.3
479,Uttar Pradesh,Agra,"Manoharpur, Agra - UPPCB",50
480,,,"Rohta, Agra - UPPCB",34
481,,,"Sanjay Palace, Agra - UPPCB",116
482,,,"Sector-3B Avas Vikas Colony, Agra - UPPCB",63
483,,,"Shahjahan Garden, Agra - UPPCB",72
484,,,"Shastripuram, Agra - UPPCB",59
485,,Baghpat,"New Collectorate, Baghpat - UPPCB",84.3
486,,,"Sardar Patel Inter College, Baghpat - UPPCB",90
487,,Bareilly,"Civil Lines, Bareilly - UPPCB",64
488,,Bareilly,"Rajendra Nagar, Bareilly - UPPCB",25
489,,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",89
490,,Firozabad,"Nagla Bhau, Firozabad - UPPCB",49
491,,Firozabad,"Vibhab Nagar, Firozabad - UPPCB",43
492,,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB",189
493,,Ghaziabad,"Loni, Ghaziabad - UPPCB",182
494,,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",142
495,,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",121
496,,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",96
497,,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",82
498,,Greater Noida,"Knowledge Park - V, Greater Noida - UPPCB",115
499,,Hapur,"Anand Vihar, Hapur - UPPCB",82
500,,Jhansi,"Shivaji Nagar, Jhansi - UPPCB",48
501,,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",94
502,,Kanpur,"IITK, Kanpur - IITK",84.3
503,,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",86
504,,Kanpur,"Nehru Nagar, Kanpur - UPPCB",39
505,,Khurja,"Kalindi Kunj, Khurja - UPPCB",98
506,,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",83
507,,Lucknow,"Gomti Nagar, Lucknow - UPPCB",68
508,,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",127
509,,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB",75
510,,Lucknow,"Lalbagh, Lucknow - CPCB",125
511,,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",94
512,,Meerut,"Ganga Nagar, Meerut - UPPCB",72
513,,Meerut,"Jai Bhim Nagar, Meerut - UPPCB",61
514,,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",69
515,,Moradabad,"Buddhi Vihar, Moradabad - UPPCB",40
516,,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",83
517,,Moradabad,"Employment Office, Moradabad - UPPCB",46
518,,Moradabad,"Jigar Colony, Moradabad - UPPCB",55
519,,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",45
520,,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",84.3
521,,Moradabad,"Transport Nagar, Moradabad - UPPCB",57
522,,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",83
523,,Noida,"Sector - 125, Noida - UPPCB",84.3
524,,Noida,"Sector - 62, Noida - IMD",99
525,,Noida,"Sector-1, Noida - UPPCB",107
526,,Noida,"Sector-116, Noida - UPPCB",87
527,,Prayagraj,"Jhunsi, Prayagraj - UPPCB",66
528,,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",40
529,,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",38
530,,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",77
